# columns: SSS BBB CCC PPP
# SimName (with replacables)     BBB.par2         CCC PPP
# Base cosmology, secondary suite
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      223 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  223 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  223 312

# omega_b
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      224 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  224 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  224 312
AbacusAurora_emulatormed_cCCC_phPPP     EmulatorMed      225 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  225 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  225 312


# Next, the bi-parameter changes, letting the phases vary, but always matching for the symmetric pair (adjacent numbers)
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     230 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  230 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  230 313
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     231 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  231 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  231 313

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     232 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  232 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  232 314
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     233 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  233 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  233 314

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     234 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  234 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  234 315
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     235 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  235 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  235 315

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     236 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  236 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  236 316
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     237 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  237 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  237 316

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     238 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  238 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  238 300
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     239 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  239 311
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  239 300

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     240 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  240 313
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  240 312
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     241 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  241 313
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  241 312

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     242 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  242 314
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  242 312
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     243 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  243 314
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  243 312

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     244 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  244 315
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  244 312
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     245 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  245 315
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  245 312

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     246 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  246 316
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  246 312
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     247 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  247 316
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  247 312

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     248 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  248 300
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  248 312
AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     249 310
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  249 300
AbacusAurora_emulatorslim0p5_cCCC_phPPP EmulatorSlim0p5  249 312

AbacusAurora_emulatorslim_cCCC_phPPP    EmulatorSlim     250 310
