# SimName (with replacables)     BBB.par2         CCC PPP
# Base cosmology, secondary suite
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     259 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  259 302
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  259 306

AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     260 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  260 302
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  260 307
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     261 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  261 302
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  261 307


# Ad hoc core-4 
# DESI best-fit LCDM
AbacusAurora_emulslim_cCCC_phPPP    EmulatorSlim     210 300
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  210 301
AbacusAurora_emulslim0p5_cCCC_phPPP EmulatorSlim0p5  210 302
